GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P004001,P004001.2000,P004002,P004002.2000,P004003,P004003.2000
19001,050,19,001,99999,999,,,Adair County!,7682,3698,8243,3690,7682,8243,7581,8185,101,58
19003,050,19,003,99999,999,,,Adams County,4029,2010,4482,2109,4029,4482,3992,4456,37,26
19005,050,19,005,99999,999,,,Allamakee County,14330,7617,14675,7142,14330,14675,13573,14155,757,520
19007,050,19,007,99999,999,,,Appanoose County,12887,6633,13721,6697,12887,13721,12706,13586,181,135
19009,050,19,009,99999,999,,,Audubon County,6119,2972,6830,2995,6119,6830,6082,6797,37,33
19011,050,19,011,16300,999,,,Benton County,26076,11095,25308,10377,26076,25308,25801,25152,275,156
19013,050,19,013,47940,999,,,Black Hawk County,131090,55887,128012,51759,131090,128012,126183,125653,4907,2359
19015,050,19,015,14340,112,,,Boone County,26306,11756,26224,10968,26306,26224,25801,26006,505,218
19017,050,19,017,47940,999,,,Bremer County,24276,9915,23325,9337,24276,23325,24037,23195,239,130
19019,050,19,019,99999,999,,,Buchanan County,20958,8968,21093,8697,20958,21093,20715,20962,243,131
19021,050,19,021,44740,999,,,Buena Vista County,20260,8237,20411,8145,20260,20411,15652,17851,4608,2560
19023,050,19,023,99999,999,,,Butler County,14867,6682,15305,6578,14867,15305,14734,15216,133,89
19025,050,19,025,99999,999,,,Calhoun County,9670,5108,11115,5219,9670,11115,9580,11015,90,100
19027,050,19,027,99999,999,,,Carroll County,20816,9376,21421,9019,20816,21421,20483,21306,333,115
19029,050,19,029,99999,999,,,Cass County,13956,6591,14684,6590,13956,14684,13703,14583,253,101
19031,050,19,031,99999,999,,,Cedar County,18499,8064,18187,7570,18499,18187,18215,18016,284,171
19033,050,19,033,32380,999,,,Cerro Gordo County,44151,22163,46447,21488,44151,46447,42457,45156,1694,1291
19035,050,19,035,99999,999,,,Cherokee County,12072,5777,13035,5850,12072,13035,11798,12911,274,124
19037,050,19,037,99999,999,,,Chickasaw County,12439,5679,13095,5593,12439,13095,12170,13013,269,82
19039,050,19,039,99999,999,,,Clarke County,9286,4086,9133,3934,9286,9133,8359,8764,927,369
19041,050,19,041,43980,999,,,Clay County,16667,8062,17372,7828,16667,17372,16190,17176,477,196
19043,050,19,043,99999,999,,,Clayton County,18129,8999,18678,8619,18129,18678,17823,18536,306,142
19045,050,19,045,17540,999,,,Clinton County,49116,21733,50149,21585,49116,50149,47873,49522,1243,627
19047,050,19,047,99999,999,,,Crawford County,17096,6943,16942,6958,17096,16942,12965,15460,4131,1482
19049,050,19,049,19780,218,,,Dallas County,66135,27260,40750,16529,66135,40750,62076,38551,4059,2199
19051,050,19,051,99999,999,,,Davis County,8753,3600,8541,3530,8753,8541,8668,8480,85,61
19053,050,19,053,99999,999,,,Decatur County,8457,3834,8689,3833,8457,8689,8276,8541,181,148
19055,050,19,055,99999,999,,,Delaware County,17764,8028,18404,7682,17764,18404,17625,18283,139,121
19057,050,19,057,15460,999,,,Des Moines County,40325,18535,42351,18643,40325,42351,39283,41611,1042,740
19059,050,19,059,44020,999,,,Dickinson County,16667,12849,16424,11375,16667,16424,16489,16315,178,109
19061,050,19,061,20220,999,,,Dubuque County,93653,38951,89143,35505,93653,89143,91846,88078,1807,1065
19063,050,19,063,99999,999,,,Emmet County,10302,4758,11027,4889,10302,11027,9539,10552,763,475
19065,050,19,065,99999,999,,,Fayette County,20880,9558,22008,9505,20880,22008,20500,21678,380,330
19067,050,19,067,99999,999,,,Floyd County,16303,7526,16900,7317,16303,16900,15972,16678,331,222
19069,050,19,069,99999,999,,,Franklin County,10680,4894,10704,4763,10680,10704,9471,10062,1209,642
19071,050,19,071,99999,999,,,Fremont County,7441,3431,8010,3514,7441,8010,7254,7836,187,174
19073,050,19,073,99999,999,,,Greene County,9336,4546,10366,4623,9336,10366,9165,10194,171,172
19075,050,19,075,47940,999,,,Grundy County,12453,5530,12369,5304,12453,12369,12331,12297,122,72
19077,050,19,077,19780,218,,,Guthrie County,10954,5756,11353,5467,10954,11353,10752,11233,202,120
19079,050,19,079,99999,999,,,Hamilton County,15673,7219,16438,7082,15673,16438,14891,16204,782,234
19081,050,19,081,99999,999,,,Hancock County,11341,5330,12100,5164,11341,12100,10943,11799,398,301
19083,050,19,083,99999,999,,,Hardin County,17534,8224,18812,8318,17534,18812,16883,18357,651,455
19085,050,19,085,36540,420,,,Harrison County,14928,6731,15666,6602,14928,15666,14745,15553,183,113
19087,050,19,087,99999,999,,,Henry County,20145,8280,20336,8246,20145,20336,19381,20080,764,256
19089,050,19,089,99999,999,,,Howard County,9566,4367,9932,4327,9566,9932,9448,9877,118,55
19091,050,19,091,99999,999,,,Humboldt County,9815,4684,10381,4645,9815,10381,9458,10281,357,100
19093,050,19,093,99999,999,,,Ida County,7089,3426,7837,3506,7089,7837,6989,7800,100,37
19095,050,19,095,99999,999,,,Iowa County,16355,7258,15671,6545,16355,15671,16048,15519,307,152
19097,050,19,097,99999,999,,,Jackson County,19848,9415,20296,8949,19848,20296,19628,20175,220,121
19099,050,19,099,35500,218,,,Jasper County,36842,16181,37213,15659,36842,37213,36305,36838,537,375
19101,050,19,101,99999,999,,,Jefferson County,16843,7594,16181,7241,16843,16181,16433,15884,410,297
19103,050,19,103,26980,999,,,Johnson County,130882,55967,111006,45831,130882,111006,124682,108225,6200,2781
19105,050,19,105,16300,999,,,Jones County,20638,8911,20221,8126,20638,20221,20368,20008,270,213
19107,050,19,107,99999,999,,,Keokuk County,10511,4931,11400,5013,10511,11400,10421,11339,90,61
19109,050,19,109,99999,999,,,Kossuth County,15543,7486,17163,7605,15543,17163,15328,17024,215,139
19111,050,19,111,22800,999,,,Lee County,35862,16205,38052,16612,35862,38052,34770,37150,1092,902
19113,050,19,113,16300,999,,,Linn County,211226,92251,191701,80551,211226,191701,205692,188979,5534,2722
19115,050,19,115,34700,999,,,Louisa County,11387,5002,12183,5133,11387,12183,9590,10646,1797,1537
19117,050,19,117,99999,999,,,Lucas County,8898,4238,9422,4239,8898,9422,8809,9340,89,82
19119,050,19,119,99999,999,,,Lyon County,11581,4848,11763,4758,11581,11763,11369,11721,212,42
19121,050,19,121,19780,218,,,Madison County,15679,6554,14019,5661,15679,14019,15482,13914,197,105
19123,050,19,123,36820,999,,,Mahaska County,22381,9766,22335,9551,22381,22335,22021,22145,360,190
19125,050,19,125,37800,218,,,Marion County,33309,13914,32052,12755,33309,32052,32778,31795,531,257
19127,050,19,127,32260,999,,,Marshall County,40648,16831,39311,16324,40648,39311,33631,35788,7017,3523
19129,050,19,129,36540,420,,,Mills County,15059,6109,14547,5671,15059,14547,14700,14368,359,179
19131,050,19,131,99999,999,,,Mitchell County,10776,4850,10874,4594,10776,10874,10666,10811,110,63
19133,050,19,133,99999,999,,,Monona County,9243,4697,10020,4660,9243,10020,9136,9950,107,70
19135,050,19,135,99999,999,,,Monroe County,7970,3884,8016,3588,7970,8016,7801,7976,169,40
19137,050,19,137,99999,999,,,Montgomery County,10740,5239,11771,5399,10740,11771,10435,11618,305,153
19139,050,19,139,34700,999,,,Muscatine County,42745,17910,41722,16786,42745,41722,35942,36749,6803,4973
19141,050,19,141,99999,999,,,O'Brien County,14398,6649,15102,6509,14398,15102,13853,14835,545,267
19143,050,19,143,99999,999,,,Osceola County,6462,2990,7003,3012,6462,7003,6032,6878,430,125
19145,050,19,145,99999,999,,,Page County,15932,7181,16976,7302,15932,16976,15494,16711,438,265
19147,050,19,147,99999,999,,,Palo Alto County,9421,4628,10147,4631,9421,10147,9269,10070,152,77
19149,050,19,149,99999,999,,,Plymouth County,24986,10550,24849,9880,24986,24849,24244,24521,742,328
19151,050,19,151,99999,999,,,Pocahontas County,7310,3794,8662,3988,7310,8662,7144,8585,166,77
19153,050,19,153,19780,218,,,Polk County,430640,182262,374601,156447,430640,374601,397993,358111,32647,16490
19155,050,19,155,36540,420,,,Pottawattamie County,93158,39330,87704,35761,93158,87704,87007,84812,6151,2892
19157,050,19,157,99999,999,,,Poweshiek County,18914,8949,18815,8556,18914,18815,18458,18589,456,226
19159,050,19,159,99999,999,,,Ringgold County,5131,2613,5469,2789,5131,5469,5040,5456,91,13
19161,050,19,161,99999,999,,,Sac County,10350,5429,11529,5460,10350,11529,10155,11418,195,111
19163,050,19,163,19340,999,,,Scott County,165224,71835,158668,65649,165224,158668,156027,152223,9197,6445
19165,050,19,165,99999,999,,,Shelby County,12167,5542,13173,5459,12167,13173,11948,13085,219,88
19167,050,19,167,99999,999,,,Sioux County,33704,12279,31589,11260,33704,31589,30703,30781,3001,808
19169,050,19,169,11180,112,,,Story County,89542,36789,79981,30630,89542,79981,86847,78743,2695,1238
19171,050,19,171,99999,999,,,Tama County,17767,7766,18103,7583,17767,18103,16447,17424,1320,679
19173,050,19,173,99999,999,,,Taylor County,6317,3107,6958,3199,6317,6958,5953,6693,364,265
19175,050,19,175,99999,999,,,Union County,12534,5937,12309,5657,12534,12309,12309,12184,225,125
19177,050,19,177,99999,999,,,Van Buren County,7570,3670,7809,3581,7570,7809,7482,7749,88,60
19179,050,19,179,36900,999,,,Wapello County,35625,16098,36051,15873,35625,36051,32391,35252,3234,799
19181,050,19,181,19780,218,,,Warren County,46225,18371,40671,15289,46225,40671,45326,40230,899,441
19183,050,19,183,26980,999,,,Washington County,21704,9516,20670,8543,21704,20670,20566,20106,1138,564
19185,050,19,185,99999,999,,,Wayne County,6403,3212,6730,3357,6403,6730,6334,6682,69,48
19187,050,19,187,22700,999,,,Webster County,38013,17035,40235,16969,38013,40235,36567,39291,1446,944
19189,050,19,189,99999,999,,,Winnebago County,10866,5194,11723,5065,10866,11723,10506,11486,360,237
19191,050,19,191,99999,999,,,Winneshiek County,21056,8721,21310,8208,21056,21310,20638,21140,418,170
19193,050,19,193,43580,512,,,Woodbury County,102172,41484,103877,41394,102172,103877,88179,94409,13993,9468
19195,050,19,195,32380,999,,,Worth County,7598,3548,7909,3534,7598,7909,7451,7785,147,124
19197,050,19,197,99999,999,,,Wright County,13229,6529,14334,6559,13229,14334,11955,13628,1274,706
